price,bedrooms,bathrooms,pets,furnished,address,latitude,longitude,date,roommate,utilities
700,1,1,0,1,1035 Government Street Duncan BC CA,48.786838,-123.718777,2018-01-30 21:31,0,1
4300,6,2.5,1,0,1725 Jefferson Ave Victoria BC CA,48.476927,-123.330552,2018-01-30 22:02,0,0
4200,6,2.5,1,0,1726 Jefferson Ave Victoria BC CA,48.476927,-123.330552,2018-01-30 22:00,0,0
1400,1,1,0,1,557 Simcoe St Victoria BC CA,48.414322,-123.372021,2018-01-02 21:49,0,1
1350,1,1,0,0,Yates at Fernwood Victoria BC CA,48.424552,-123.345492,2018-01-30 23:45,0,1
1600,3,2,0,0,,,,2018-01-31 0:52,0,0
3500,5,2,1,1,1790 Taylor St Victoria BC CA,48.443152,-123.327932,2018-01-31 1:01,0,1
1600,1,1,0,0,757 Tyee Rd Victoria BC CA,48.43391,-123.380687,2018-01-31 3:46,0,1
1380,1,1,0,0,deerview langford BC CA,48.472623,-123.522416,2018-01-21 1:44,0,1
4500,4,2,0,0,,,,2018-01-31 16:00,0,1
5000,5,6,1,0,1725 Texada Terr North Saanich BC CA,48.626781,-123.42615,2018-01-31 18:25,0,1
450,1,1,0,1,1752-1708 Llandaff Pl Victoria BC CA,48.482404,-123.325426,2018-01-31 20:32,0,0
1350,1,1,1,0,1166-1114 Rockland Ave Victoria BC CA,48.422053,-123.353591,2018-01-04 23:42,0,1
550,1,1,0,1,4395 Torquay Dr Victoria BC CA,48.485021,-123.325451,2018-01-31 23:02,0,0
2000,0,0,0,0,2403 Fernwood Rd Victoria BC CA,48.433651,-123.344878,2018-02-01 1:25,0,1
1495,1,1,1,0,Carnsew Victoria BC CA,48.417115,-123.34836,2018-02-01 2:08,0,1
1000,1,1,0,0,3084-3024 Carroll St Victoria BC CA,48.444996,-123.38271,2018-02-01 2:18,0,1
